Incident ID,Start_Date_Time,Crime Name1,Police District Name,hour,weekday
201558899,2025-12-31 23:51:00,Crime Against Society,GERMANTOWN,23,Wednesday
201558165,2025-12-31 23:49:00,Crime Against Society,WHEATON,23,Wednesday
201558053,2025-12-31 23:44:00,Crime Against Society,GERMANTOWN,23,Wednesday
201558300,2025-12-31 23:40:00,Crime Against Property,SILVER SPRING,23,Wednesday
201558055,2025-12-31 23:30:00,Crime Against Society,MONTGOMERY VILLAGE,23,Wednesday
201558057,2025-12-31 23:07:00,Crime Against Person,ROCKVILLE,23,Wednesday
201558058,2025-12-31 23:02:00,Crime Against Society,ROCKVILLE,23,Wednesday
201558239,2025-12-31 23:01:00,Crime Against Society,SILVER SPRING,23,Wednesday
201558197,2025-12-31 22:56:00,Crime Against Society,TAKOMA PARK,22,Wednesday
201558047,2025-12-31 22:07:00,Crime Against Property,GERMANTOWN,22,Wednesday
201558416,2025-12-31 21:49:00,Crime Against Society,MONTGOMERY VILLAGE,21,Wednesday
201558416,2025-12-31 21:49:00,Crime Against Society,MONTGOMERY VILLAGE,21,Wednesday
201558181,2025-12-31 21:43:00,Crime Against Property,SILVER SPRING,21,Wednesday
201558045,2025-12-31 21:17:00,Crime Against Property,BETHESDA,21,Wednesday
201558040,2025-12-31 21:06:00,Crime Against Person,WHEATON,21,Wednesday
201558042,2025-12-31 21:01:00,Crime Against Property,BETHESDA,21,Wednesday
201558042,2025-12-31 21:01:00,Crime Against Property,BETHESDA,21,Wednesday
201558194,2025-12-31 21:00:00,Crime Against Person,BETHESDA,21,Wednesday
201558039,2025-12-31 20:50:00,Crime Against Society,MONTGOMERY VILLAGE,20,Wednesday
201558048,2025-12-31 20:42:00,Crime Against Property,ROCKVILLE,20,Wednesday
201558050,2025-12-31 20:29:00,Crime Against Society,WHEATON,20,Wednesday
201558134,2025-12-31 20:00:00,Crime Against Property,WHEATON,20,Wednesday
201558344,2025-12-31 20:00:00,Crime Against Property,MONTGOMERY VILLAGE,20,Wednesday
201558151,2025-12-31 19:46:00,Crime Against Society,WHEATON,19,Wednesday
201559123,2025-12-31 19:30:00,Crime Against Property,MONTGOMERY VILLAGE,19,Wednesday
201558051,2025-12-31 19:20:00,Crime Against Property,BETHESDA,19,Wednesday
201558142,2025-12-31 19:08:00,Crime Against Property,SILVER SPRING,19,Wednesday
201558142,2025-12-31 19:08:00,Crime Against Person,SILVER SPRING,19,Wednesday
201558573,2025-12-31 19:00:00,Crime Against Property,WHEATON,19,Wednesday
201558046,2025-12-31 18:43:00,Crime Against Society,ROCKVILLE,18,Wednesday
201558516,2025-12-31 18:30:00,Crime Against Society,GERMANTOWN,18,Wednesday
201558027,2025-12-31 18:28:00,Crime Against Person,GERMANTOWN,18,Wednesday
201558027,2025-12-31 18:28:00,Crime Against Society,GERMANTOWN,18,Wednesday
201558140,2025-12-31 18:01:00,Crime Against Society,BETHESDA,18,Wednesday
201558049,2025-12-31 18:00:00,Crime Against Property,BETHESDA,18,Wednesday
201558022,2025-12-31 18:00:00,Crime Against Property,SILVER SPRING,18,Wednesday
201558903,2025-12-31 18:00:00,Crime Against Property,GERMANTOWN,18,Wednesday
201558028,2025-12-31 17:53:00,Crime Against Person,GERMANTOWN,17,Wednesday
201558026,2025-12-31 17:50:00,Crime Against Property,WHEATON,17,Wednesday
